# Batch log for data/CompMix/top1000.csv
# Each line: batch_index | row_indices | filenames

batch 0 (#1) | rows 0-1 | files: 97.json, 8573.json
batch 135 (#136) | rows 270-271 | files: 1252.json, 938.json
batch 136 (#137) | rows 272-273 | files: 1667.json, 1820.json
batch 137 (#138) | rows 274-275 | files: 194.json, 4129.json
batch 138 (#139) | rows 276-277 | files: 748.json, 3379.json
batch 139 (#140) | rows 278-279 | files: 1691.json, 191.json
batch 140 (#141) | rows 280-281 | files: 3038.json, 4127.json
batch 141 (#142) | rows 282-283 | files: 1866.json, 4353.json
batch 142 (#143) | rows 284-285 | files: 6058.json, 6456.json
batch 143 (#144) | rows 286-287 | files: 5365.json, 6195.json
batch 144 (#145) | rows 288-289 | files: 5619.json, 6180.json
batch 145 (#146) | rows 290-291 | files: 5615.json, 5376.json
batch 146 (#147) | rows 292-293 | files: 6444.json, 8682.json
batch 147 (#148) | rows 294-295 | files: 7627.json, 6834.json
batch 148 (#149) | rows 296-297 | files: 8747.json, 8699.json
batch 149 (#150) | rows 298-299 | files: 8746.json, 9369.json
batch 150 (#151) | rows 300-301 | files: 9112.json, 9117.json
batch 151 (#152) | rows 302-303 | files: 7133.json, 7782.json
batch 152 (#153) | rows 304-305 | files: 8212.json, 9123.json
batch 153 (#154) | rows 306-307 | files: 7036.json, 8342.json
batch 154 (#155) | rows 308-309 | files: 3134.json, 1239.json
batch 155 (#156) | rows 310-311 | files: 6242.json, 7439.json
batch 156 (#157) | rows 312-313 | files: 8705.json, 177.json
batch 157 (#158) | rows 314-315 | files: 1701.json, 2625.json
batch 158 (#159) | rows 316-317 | files: 4810.json, 3777.json
batch 159 (#160) | rows 318-319 | files: 1942.json, 2130.json
batch 160 (#161) | rows 320-321 | files: 1882.json, 3509.json
batch 161 (#162) | rows 322-323 | files: 2530.json, 1749.json
batch 162 (#163) | rows 324-325 | files: 92.json, 2071.json
batch 163 (#164) | rows 326-327 | files: 3800.json, 3161.json
batch 164 (#165) | rows 328-329 | files: 2281.json, 1416.json
batch 165 (#166) | rows 330-331 | files: 2046.json, 1447.json
batch 166 (#167) | rows 332-333 | files: 4481.json, 4910.json
batch 167 (#168) | rows 334-335 | files: 4122.json, 2293.json
batch 168 (#169) | rows 336-337 | files: 1441.json, 4811.json
batch 169 (#170) | rows 338-339 | files: 1413.json, 4128.json
batch 170 (#171) | rows 340-341 | files: 1755.json, 2884.json
batch 171 (#172) | rows 342-343 | files: 2158.json, 3357.json
batch 172 (#173) | rows 344-345 | files: 3146.json, 1869.json
batch 173 (#174) | rows 346-347 | files: 2618.json, 4360.json
batch 174 (#175) | rows 348-349 | files: 4476.json, 2065.json
batch 175 (#176) | rows 350-351 | files: 1329.json, 1236.json
batch 176 (#177) | rows 352-353 | files: 3160.json, 5006.json
batch 177 (#178) | rows 354-355 | files: 5331.json, 5582.json
batch 178 (#179) | rows 356-357 | files: 6057.json, 5155.json
batch 179 (#180) | rows 358-359 | files: 5364.json, 5157.json
batch 180 (#181) | rows 360-361 | files: 5030.json, 5053.json
batch 181 (#182) | rows 362-363 | files: 6222.json, 6418.json
batch 182 (#183) | rows 364-365 | files: 5048.json, 6147.json
batch 183 (#184) | rows 366-367 | files: 6006.json, 6554.json
batch 184 (#185) | rows 368-369 | files: 5996.json, 7668.json
batch 185 (#186) | rows 370-371 | files: 8855.json, 7786.json
batch 186 (#187) | rows 372-373 | files: 9331.json, 8202.json
batch 187 (#188) | rows 374-375 | files: 9016.json, 8213.json
batch 188 (#189) | rows 376-377 | files: 7124.json, 7268.json
batch 189 (#190) | rows 378-379 | files: 8716.json, 7529.json
batch 190 (#191) | rows 380-381 | files: 7176.json, 9337.json
batch 191 (#192) | rows 382-383 | files: 6853.json, 7925.json
batch 192 (#193) | rows 384-385 | files: 8035.json, 7095.json
batch 193 (#194) | rows 386-387 | files: 6977.json, 8203.json
batch 194 (#195) | rows 388-389 | files: 9379.json, 7495.json
batch 195 (#196) | rows 390-391 | files: 6847.json, 9021.json
batch 196 (#197) | rows 392-393 | files: 3985.json, 2636.json
batch 197 (#198) | rows 394-395 | files: 937.json, 1065.json
batch 198 (#199) | rows 396-397 | files: 3172.json, 1809.json
batch 199 (#200) | rows 398-399 | files: 1808.json, 3167.json
batch 200 (#201) | rows 400-401 | files: 2056.json, 2279.json
batch 201 (#202) | rows 402-403 | files: 464.json, 1364.json
batch 202 (#203) | rows 404-405 | files: 2882.json, 1357.json
batch 203 (#204) | rows 406-407 | files: 283.json, 421.json
batch 204 (#205) | rows 408-409 | files: 864.json, 3037.json
batch 205 (#206) | rows 410-411 | files: 1952.json, 4475.json
batch 206 (#207) | rows 412-413 | files: 4391.json, 3139.json
batch 207 (#208) | rows 414-415 | files: 2079.json, 1844.json
batch 208 (#209) | rows 416-417 | files: 3285.json, 4695.json
batch 209 (#210) | rows 418-419 | files: 4378.json, 2298.json
batch 210 (#211) | rows 420-421 | files: 2921.json, 4182.json
batch 211 (#212) | rows 422-423 | files: 4694.json, 6570.json
batch 212 (#213) | rows 424-425 | files: 6610.json, 5401.json
batch 213 (#214) | rows 426-427 | files: 6193.json, 6184.json
batch 214 (#215) | rows 428-429 | files: 6413.json, 6012.json
batch 215 (#216) | rows 430-431 | files: 5264.json, 6615.json
batch 216 (#217) | rows 432-433 | files: 6003.json, 5151.json
batch 217 (#218) | rows 434-435 | files: 6179.json, 5687.json
batch 218 (#219) | rows 436-437 | files: 6183.json, 8222.json
batch 219 (#220) | rows 438-439 | files: 9082.json, 8317.json
batch 220 (#221) | rows 440-441 | files: 9101.json, 8702.json
batch 221 (#222) | rows 442-443 | files: 7097.json, 8957.json
batch 222 (#223) | rows 444-445 | files: 8736.json, 9405.json
batch 223 (#224) | rows 446-447 | files: 8755.json, 7978.json
batch 224 (#225) | rows 448-449 | files: 3513.json, 2302.json
batch 225 (#226) | rows 450-451 | files: 4346.json, 6215.json
batch 226 (#227) | rows 452-453 | files: 8542.json, 1693.json
batch 227 (#228) | rows 454-455 | files: 3129.json, 2094.json
batch 228 (#229) | rows 456-457 | files: 2526.json, 1617.json
batch 229 (#230) | rows 458-459 | files: 1299.json, 1354.json
batch 230 (#231) | rows 460-461 | files: 1440.json, 2060.json
batch 231 (#232) | rows 462-463 | files: 1706.json, 2234.json
batch 232 (#233) | rows 464-465 | files: 1495.json, 1485.json
batch 233 (#234) | rows 466-467 | files: 3407.json, 3786.json
batch 234 (#235) | rows 468-469 | files: 4483.json, 4666.json
batch 235 (#236) | rows 470-471 | files: 3155.json, 2296.json
batch 236 (#237) | rows 472-473 | files: 2538.json, 1878.json
batch 237 (#238) | rows 474-475 | files: 4677.json, 4421.json
batch 238 (#239) | rows 476-477 | files: 1328.json, 1436.json
batch 239 (#240) | rows 478-479 | files: 4801.json, 1854.json
batch 240 (#241) | rows 480-481 | files: 1947.json, 3834.json
batch 241 (#242) | rows 482-483 | files: 2497.json, 4805.json
batch 242 (#243) | rows 484-485 | files: 1680.json, 2613.json
batch 243 (#244) | rows 486-487 | files: 4461.json, 1241.json
batch 244 (#245) | rows 488-489 | files: 435.json, 4604.json
batch 245 (#246) | rows 490-491 | files: 2624.json, 633.json
batch 246 (#247) | rows 492-493 | files: 4603.json, 4596.json
batch 247 (#248) | rows 494-495 | files: 1744.json, 1814.json
batch 248 (#249) | rows 496-497 | files: 2137.json, 2131.json
batch 249 (#250) | rows 498-499 | files: 4586.json, 2145.json
batch 250 (#251) | rows 500-501 | files: 1603.json, 1227.json
batch 251 (#252) | rows 502-503 | files: 2063.json, 1238.json
batch 252 (#253) | rows 504-505 | files: 4560.json, 1235.json
batch 253 (#254) | rows 506-507 | files: 6191.json, 5004.json
batch 254 (#255) | rows 508-509 | files: 6223.json, 5070.json
batch 255 (#256) | rows 510-511 | files: 5622.json, 5052.json
batch 256 (#257) | rows 512-513 | files: 5782.json, 5169.json
batch 257 (#258) | rows 514-515 | files: 5472.json, 6494.json
batch 258 (#259) | rows 516-517 | files: 6161.json, 6493.json
batch 259 (#260) | rows 518-519 | files: 6182.json, 6165.json
batch 260 (#261) | rows 520-521 | files: 6344.json, 5095.json
batch 261 (#262) | rows 522-523 | files: 6475.json, 9108.json
batch 262 (#263) | rows 524-525 | files: 6892.json, 8859.json
batch 263 (#264) | rows 526-527 | files: 6672.json, 7536.json
batch 264 (#265) | rows 528-529 | files: 9099.json, 7804.json
batch 265 (#266) | rows 530-531 | files: 9317.json, 6851.json
batch 266 (#267) | rows 532-533 | files: 6827.json, 7716.json
batch 267 (#268) | rows 534-535 | files: 7792.json, 6768.json
batch 268 (#269) | rows 536-537 | files: 8700.json, 8956.json
batch 269 (#270) | rows 538-539 | files: 9387.json, 9185.json
batch 270 (#271) | rows 540-541 | files: 7794.json, 2916.json
batch 271 (#272) | rows 542-543 | files: 1253.json, 476.json
batch 272 (#273) | rows 544-545 | files: 4482.json, 3778.json
batch 273 (#274) | rows 546-547 | files: 3632.json, 1062.json
batch 274 (#275) | rows 548-549 | files: 945.json, 1893.json
batch 275 (#276) | rows 550-551 | files: 1690.json, 1371.json
batch 276 (#277) | rows 552-553 | files: 3522.json, 115.json
batch 277 (#278) | rows 554-555 | files: 819.json, 1464.json
batch 278 (#279) | rows 556-557 | files: 3471.json, 4610.json
batch 279 (#280) | rows 558-559 | files: 3563.json, 3802.json
batch 280 (#281) | rows 560-561 | files: 1816.json, 4732.json
batch 281 (#282) | rows 562-563 | files: 2891.json, 3206.json
batch 282 (#283) | rows 564-565 | files: 4320.json, 292.json
batch 283 (#284) | rows 566-567 | files: 823.json, 3467.json
batch 284 (#285) | rows 568-569 | files: 845.json, 1067.json
batch 285 (#286) | rows 570-571 | files: 842.json, 2533.json
batch 286 (#287) | rows 572-573 | files: 3788.json, 128.json
batch 287 (#288) | rows 574-575 | files: 2099.json, 1066.json
batch 288 (#289) | rows 576-577 | files: 4841.json, 1534.json
batch 289 (#290) | rows 578-579 | files: 4120.json, 4335.json
batch 290 (#291) | rows 580-581 | files: 1907.json, 1063.json
batch 291 (#292) | rows 582-583 | files: 445.json, 2216.json
batch 292 (#293) | rows 584-585 | files: 1686.json, 1953.json
batch 293 (#294) | rows 586-587 | files: 1061.json, 2139.json
batch 294 (#295) | rows 588-589 | files: 2066.json, 2785.json
batch 295 (#296) | rows 590-591 | files: 4507.json, 3290.json
batch 296 (#297) | rows 592-593 | files: 1362.json, 5616.json
batch 297 (#298) | rows 594-595 | files: 5374.json, 5005.json
batch 298 (#299) | rows 596-597 | files: 5965.json, 5963.json
batch 299 (#300) | rows 598-599 | files: 5917.json, 5098.json
batch 300 (#301) | rows 600-601 | files: 6178.json, 6437.json
batch 301 (#302) | rows 602-603 | files: 9307.json, 9119.json
batch 302 (#303) | rows 604-605 | files: 7007.json, 8042.json
batch 303 (#304) | rows 606-607 | files: 7509.json, 8367.json
batch 304 (#305) | rows 608-609 | files: 6891.json, 6666.json
batch 305 (#306) | rows 610-611 | files: 8221.json, 7326.json
batch 306 (#307) | rows 612-613 | files: 8809.json, 9083.json
batch 307 (#308) | rows 614-615 | files: 8157.json, 8735.json
batch 308 (#309) | rows 616-617 | files: 9368.json, 7325.json
batch 309 (#310) | rows 618-619 | files: 7009.json, 2501.json
batch 310 (#311) | rows 620-621 | files: 2541.json, 2750.json
batch 311 (#312) | rows 622-623 | files: 2881.json, 2493.json
batch 312 (#313) | rows 624-625 | files: 8583.json, 3263.json
batch 313 (#314) | rows 626-627 | files: 3059.json, 2075.json
batch 314 (#315) | rows 628-629 | files: 1843.json, 1756.json
batch 315 (#316) | rows 630-631 | files: 2757.json, 1602.json
batch 316 (#317) | rows 632-633 | files: 3173.json, 4348.json
batch 317 (#318) | rows 634-635 | files: 520.json, 897.json
batch 318 (#319) | rows 636-637 | files: 2153.json, 3164.json
batch 319 (#320) | rows 638-639 | files: 2889.json, 2050.json
batch 320 (#321) | rows 640-641 | files: 135.json, 1647.json
batch 321 (#322) | rows 642-643 | files: 2345.json, 1879.json
batch 322 (#323) | rows 644-645 | files: 4799.json, 4920.json
batch 323 (#324) | rows 646-647 | files: 3840.json, 1580.json
batch 324 (#325) | rows 648-649 | files: 2179.json, 4846.json
batch 325 (#326) | rows 650-651 | files: 3695.json, 493.json
batch 326 (#327) | rows 652-653 | files: 1868.json, 2965.json
batch 327 (#328) | rows 654-655 | files: 2899.json, 690.json
batch 328 (#329) | rows 656-657 | files: 2631.json, 434.json
batch 329 (#330) | rows 658-659 | files: 2630.json, 2097.json
batch 330 (#331) | rows 660-661 | files: 2853.json, 389.json
batch 331 (#332) | rows 662-663 | files: 4928.json, 566.json
batch 332 (#333) | rows 664-665 | files: 2966.json, 942.json
batch 333 (#334) | rows 666-667 | files: 2513.json, 4479.json
batch 334 (#335) | rows 668-669 | files: 1482.json, 1583.json
batch 335 (#336) | rows 670-671 | files: 1296.json, 1439.json
batch 336 (#337) | rows 672-673 | files: 1143.json, 2093.json
batch 337 (#338) | rows 674-675 | files: 1567.json, 1159.json
batch 338 (#339) | rows 676-677 | files: 3609.json, 1376.json
batch 339 (#340) | rows 678-679 | files: 4005.json, 1758.json
batch 340 (#341) | rows 680-681 | files: 6445.json, 5576.json
batch 341 (#342) | rows 682-683 | files: 4968.json, 6160.json
batch 342 (#343) | rows 684-685 | files: 6152.json, 5577.json
batch 343 (#344) | rows 686-687 | files: 5144.json, 6420.json
batch 344 (#345) | rows 688-689 | files: 5167.json, 5942.json
# Detected 168 bad outputs; rows 2-689 will be re-run.
batch 1 (#2) | rows 2 | files: 9400.json
batch 3 (#4) | rows 7 | files: 1837.json
batch 6 (#7) | rows 13 | files: 8815.json
batch 8 (#9) | rows 17 | files: 2780.json
batch 9 (#10) | rows 19 | files: 6897.json
# Detected 168 bad outputs; rows 2-689 will be re-run.
# Detected 168 bad outputs; rows 2-689 will be re-run.
batch 345 (#346) | rows 690-691 | files: 6429.json, 6588.json
batch 346 (#347) | rows 692-693 | files: 5843.json, 5086.json
batch 347 (#348) | rows 694-695 | files: 6474.json, 6221.json
batch 348 (#349) | rows 696-697 | files: 5363.json, 5421.json
batch 349 (#350) | rows 698-699 | files: 6339.json, 6270.json
batch 350 (#351) | rows 700-701 | files: 5383.json, 7159.json
batch 351 (#352) | rows 702-703 | files: 8792.json, 7246.json
batch 352 (#353) | rows 704-705 | files: 9377.json, 9188.json
batch 353 (#354) | rows 706-707 | files: 8198.json, 8209.json
batch 354 (#355) | rows 708-709 | files: 8772.json, 8036.json
batch 355 (#356) | rows 710-711 | files: 7123.json, 8999.json
batch 356 (#357) | rows 712-713 | files: 9147.json, 6842.json
batch 357 (#358) | rows 714-715 | files: 8574.json, 9017.json
batch 358 (#359) | rows 716-717 | files: 8048.json, 7787.json
batch 359 (#360) | rows 718-719 | files: 7534.json, 8801.json
batch 360 (#361) | rows 720-721 | files: 6840.json, 8550.json
batch 361 (#362) | rows 722-723 | files: 7057.json, 8043.json
batch 362 (#363) | rows 724-725 | files: 8562.json, 7121.json
batch 363 (#364) | rows 726-727 | files: 7493.json, 7354.json
batch 364 (#365) | rows 728-729 | files: 8045.json, 8277.json
batch 365 (#366) | rows 730-731 | files: 8559.json, 8822.json
batch 366 (#367) | rows 732-733 | files: 9111.json, 7003.json
batch 367 (#368) | rows 734-735 | files: 1158.json, 954.json
batch 368 (#369) | rows 736-737 | files: 4110.json, 3363.json
batch 369 (#370) | rows 738-739 | files: 1248.json, 1664.json
batch 370 (#371) | rows 740-741 | files: 666.json, 3195.json
batch 371 (#372) | rows 742-743 | files: 765.json, 2043.json
batch 372 (#373) | rows 744-745 | files: 1098.json, 4577.json
batch 373 (#374) | rows 746-747 | files: 3995.json, 865.json
batch 374 (#375) | rows 748-749 | files: 4407.json, 1699.json
batch 375 (#376) | rows 750-751 | files: 1683.json, 1369.json
batch 376 (#377) | rows 752-753 | files: 332.json, 3776.json
batch 377 (#378) | rows 754-755 | files: 1698.json, 1565.json
batch 378 (#379) | rows 756-757 | files: 4686.json, 730.json
batch 379 (#380) | rows 758-759 | files: 298.json, 4367.json
batch 380 (#381) | rows 760-761 | files: 3914.json, 2178.json
batch 381 (#382) | rows 762-763 | files: 4609.json, 3240.json
batch 382 (#383) | rows 764-765 | files: 4464.json, 4913.json
batch 383 (#384) | rows 766-767 | files: 4608.json, 1891.json
batch 384 (#385) | rows 768-769 | files: 2278.json, 1232.json
batch 385 (#386) | rows 770-771 | files: 4023.json, 4000.json
batch 386 (#387) | rows 772-773 | files: 3322.json, 1848.json
batch 387 (#388) | rows 774-775 | files: 4845.json, 1313.json
batch 388 (#389) | rows 776-777 | files: 1446.json, 673.json
batch 389 (#390) | rows 778-779 | files: 4607.json, 231.json
batch 390 (#391) | rows 780-781 | files: 3841.json, 2528.json
batch 391 (#392) | rows 782-783 | files: 4936.json, 3374.json
batch 392 (#393) | rows 784-785 | files: 2635.json, 2550.json
batch 393 (#394) | rows 786-787 | files: 1374.json, 2511.json
batch 394 (#395) | rows 788-789 | files: 1233.json, 1244.json
batch 395 (#396) | rows 790-791 | files: 3358.json, 1437.json
batch 396 (#397) | rows 792-793 | files: 793.json, 2515.json
batch 397 (#398) | rows 794-795 | files: 4345.json, 210.json
batch 398 (#399) | rows 796-797 | files: 1675.json, 4473.json
batch 399 (#400) | rows 798-799 | files: 1836.json, 4336.json
batch 400 (#401) | rows 800-801 | files: 3469.json, 3907.json
batch 401 (#402) | rows 802-803 | files: 4256.json, 3773.json
batch 402 (#403) | rows 804-805 | files: 1570.json, 4072.json
batch 403 (#404) | rows 806-807 | files: 1219.json, 422.json
batch 404 (#405) | rows 808-809 | files: 2771.json, 3321.json
batch 405 (#406) | rows 810-811 | files: 1652.json, 4578.json
batch 406 (#407) | rows 812-813 | files: 732.json, 3782.json
batch 407 (#408) | rows 814-815 | files: 3712.json, 475.json
batch 408 (#409) | rows 816-817 | files: 5428.json, 5567.json
batch 409 (#410) | rows 818-819 | files: 5964.json, 5976.json
batch 410 (#411) | rows 820-821 | files: 5700.json, 5966.json
batch 411 (#412) | rows 822-823 | files: 5847.json, 5876.json
batch 412 (#413) | rows 824-825 | files: 6484.json, 5282.json
